movieCd,movieNm,openDt
20081337,사랑과 전쟁:열두 번째 남자,20080925
20081200,쉿! 그녀에겐 비밀이에요,20080904
20080268,스페어,20080828
20080871,잘못된 만남,20080710
20072673,흑심모녀,20080612
20072057,아버지와 마리와 나,20080612
20072056,그녀는 예뻤다,20080612
20070203,방울토마토,20080529
20080656,날나리 종부전,20080522
20080516,서울이 보이냐,20080508
20080471,전투의 매너,20080417
20080470,색다른 동거,20080417
20061225,마지막 밥상,20080411
20071047,"대한이, 민국씨",20080214
20072149,내 사랑 유리에,20080131
20070661,기다리다 미쳐,20080101
20081117,냉장고나라 코코몽,20080817
20072156,멋진 그녀들,20080728
20081072,해피투게더(독립영화),20080727
20081097,도살자,20080725
20081282,번개아텀,20080918
20080372,"서유,이제 시작이다",20080409
20081574,여정,20081028
20080529,필승 Ver1.0 주봉희,20080527
20081715,중앙대학교졸업작품전-섹션10,20081212
20081714,중앙대학교졸업작품전-섹션9,20081212
20081713,중앙대학교졸업작품전-섹션8,20081212
20081712,중앙대학교졸업작품전-섹션7,20081212
20081711,중앙대학교졸업작품전-섹션6,20081212
20081710,중앙대학교졸업작품전-섹션5,20081212
20081709,중앙대학교졸업작품전-섹션4,20081212
20081669,제1회 노인영화제,20081118
20081358,작가를 만나다-이지상,20080927
20081357,애니충격 감독열전-희로애락 블루스-원종식,20080926
20080876,제7회 미장센단편영화제(2008),20080626
20080652,작가를 만나다-신동일의<방문자>,20080517
20080678,인디포럼2008-포럼 기획2,20080530
20080676,인디포럼2008-국내초청1,20080530
20080675,인디포럼2008-국내신작 10,20080605
20080674,인디포럼2008-국내신작 9,20080530
20080673,인디포럼2008-국내신작 8,20080530
20080672,인디포럼2008-국내신작 7,20080530
20080670,인디포럼2008-국내신작 5,20080530
20080665,인디포럼2008-국내신작 1,20080530
20080669,인디포럼2008-국내신작 4,20080530
20080666,인디포럼2008-국내신작 2,20080530
20080526,씨네21 창간13주년기념영화제-단편영화 콜렉션,20080502
20080270,작가를 만나다-양해훈1,20080322
