movieCd,movieNm,openDt
20119989,나는 아빠다,20110414
20119619,체포왕,20110504
20119628,마마,20110601
20110609,기생령,20110805
20110303,통증,20110907
20110322,오늘,20111027
20101195,댄스타운,20110901
20101242,무산일기,20110414
20113272,도쿄 오아시스,20111201
20110295,마이 웨이,20111221
20119890,사물의 비밀,20111117
20100369,죽이러 갑니다,20110120
20112973,퍼펙트 센스,20111124
20112651,삼총사 3D,20111012
20110900,사라의 열쇠,20110811
20110607,트루맛쇼,20110602
20113271,프렌즈: 몬스터섬의비밀 ,20111229
20110501,삼국지: 명장 관우,20110519
20113334,마지막 군단,20111110
20111926,샤넬과 스트라빈스키,20110825
20112822,청원,20111102
20101395,라푼젤,20110210
20110494,굿바이 보이,20110602
20110290,퀵,20110720
20112701,무협,20111117
20111973,환타스틱 모던가야그머,20110818
20111914,카운트다운,20110929
20119851,시간을 달리는 소녀,20110324
20119718,지구대표 롤링스타즈,20110324
20110030,꿀벌 하치의 대모험,20110113
20112272,가문의 영광4 - 가문의 수난,20110907
20110296,고양이: 죽음을 보는 두 개의 눈,20110707
20119627,세상에서 가장 아름다운 이별,20110420
20119974,수상한 고객들,20110414
20110233,화이트: 저주의 멜로디,20110609
20112151,세 얼간이 감독판,20110818
20102415,평양성,20110127
20119397,2010 빅뱅라이브콘서트 BIGSHOW 3D,20110202
20110193,써니,20110504
20101232,"혜화, 동",20110217
20119341,아이들...,20110217
20112937,소중한 날의 꿈 감독판,20111106
20119515,고지전,20110720
20112534,도가니,20110922
20112176,술에 대하여 - 극장판,20110901
20110302,최종병기 활,20110810
20119717,로맨틱 헤븐,20110324
20119836,고양이 춤,20111117
20111031,돼지의 왕,20111103
20110601,플레이,20110623
20110939,REC 알이씨,20111124
20101249,종로의 기적,20110602
20119527,헤드,20110526
20112221,히트,20111013
20110313,모비딕,20110609
20101003,혈투,20110224
20110612,커플즈,20111102
19398001,오즈의 마법사,20120503
20113481,자전거 탄 소년,20120119
20125967,멜랑콜리아,20120517
20126686,미드나잇 인 파리,20120705
20128271,577 프로젝트,20120830
20124050,화차,20120308
20120362,나우이즈굿 ,20121108
20128588,"그 시절, 우리가 좋아했던 소녀",20120822
20127046,백자의 사람 : 조선의 흙이 되다,20120712
20126409,본 레거시,20120906
20123322,칼리지,20121213
20123014,옥보단2012 : 천하애정비법,20121213
20123475,걸스 곤 데드,20121217
20120101,섹스 주식회사,20120927
20122524,AV스타납치사건,20121122
20122576,순진한 유학생,20121129
20127706,매직 마이크,20120801
20128530,아메리칸 파이: 19금 동창회,20120809
20127667,캣 런,20120712
20126668,"섹스, 거짓말 그리고 비디오 테이프",20120712
20113533,후궁 : 제왕의 첩,20120606
20125046,크레이지 호스,20120419
20111826,너무 밝히는 소녀 알마,20120426
20128246,AV 아이돌,20120802
20122025,금지된 섹스 불륜2,20121115
20122449,"맛있는 섹스, 맛있는 상상",20121122
20121941,전망 좋은 방-밀애,20121108
20123344,전망 좋은 방-맛있는 섹스,20121219
20129310,위험한 유혹,20120901
20128668,스팟걸-교수와 여제자,20120802
20125127,교수와 여제자2,20120328
20123490,쇼킹 재팬: 색의 나라,20121220
20126145,오피스 걸의 불륜,20120504
20125330,개인교수 2012,20120405
20128986,금병매 감독판,20120809
20124114,신과 인간,20120119
20090105,엄마에게,20120531
20127494,늑대아이,20120913
20128746,서칭 포 슈가맨,20121011
20129260,우리도 사랑일까,20120927
20113557,범죄와의 전쟁: 나쁜놈들 전성시대,20120202
20124045,코리아,20120503
20124134,팅커 테일러 솔저 스파이,20120209
20110340,미국의 바람과 불,20120726
20111774,가비,20120315
20124079,"광해, 왕이 된 남자",20120913
20124054,늑대소년,20121031
20125048,호빗: 뜻밖의 여정,20121213
20125467,레이드 : 첫번째 습격,20120517
20124013,청포도 사탕: 17년 전의 약속,20120906
20112861,은실이,20120308
20121627,굿닥터,20121206
20124017,마티나,20121129
20125430,슈퍼스타,20120607
20112690,가시,20120308
20112018,밀월도 가는 길,20120308
20112071,태어나서 미안해,20120308
20112561,원 데이,20121213
20112703,다크 나이트 라이즈,20120719
20125446,터치,20121108
20110312,미확인 동영상 : 절대클릭금지,20120530
20124721,어벤져스,20120426
20121241,비정한 도시 감독판,20121025
20113743,댄싱퀸,20120118
20128687,가문의 영광5 - 가문의 귀환,20121219
20126089,자칼이 온다,20121115
20125406,음치 클리닉 ,20121129
20124394,sm 헌터,20120207
20113391,나는 공무원이다,20120712
20111027,철암 계곡의 혈투,20120712
20124944,용문비갑,20120315
20124070,강철대오:구국의 철가방,20121025
20128707,웨딩스캔들,20120906
20124049,R2B: 리턴투베이스,20120815
20129626,위험한 관계,20121011
20113643,파파,20120201
20100752,달팽이의 별,20120322
20124062,연가시,20120705
20125066,파리의 도둑고양이,20120426
20122861,고양이를 빌려드립니다,20121213
20126026,블루 발렌타인,20120531
20070400,제7의 봉인,20120510
20110985,줄탁동시,20120301
20126446,해피 해피 브레드,20120628
20116038,청춘그루브,20120315
20124064,돈의 맛,20120517
20128306,피나,20120830
20126010,파닥파닥,20120725
20113486,케빈에 대하여,20120726
20127407,피라냐 3DD,20120801
20111898,미쓰 마마,20121018
20113322,만화방,20120229
20126408,시작은 키스!,20120614
20113951,페이스메이커,20120118
20128447,테이큰 2,20120927
20126566,캐빈 인 더 우즈,20120628
20124934,피에타,20120906
20124427,토리노의 말,20120223
20124021,더 그레이,20120216
20125766,야곱 신부의 편지,20120510
20134603,로마 위드 러브,20130418
20134803,변호인,20131218
20130668,내 여친은 피규어,20131024
20134583,시저는 죽어야 한다,20130502
20138661,케이온,20130613
20120106,뒷담화: 감독이 미쳤어요,20130228
20134474,"시바, 인생을 던져",20131219
20132262,적인걸2 : 신도해왕의 비밀,20131002
20120467,스토커,20130228
20130243,허풍,20130814
20138404,아름다운 이별은 없다,20130822
20130254,우리동네 포르노스타,20130710
20130601,뜨거운 욕망,20130712
20130170,바디 앤 안티바디,20130711
20138955,스프링 브레이커스,20130725
20131061,스위트 카르마,20130801
20131206,아티스트 봉만대,20130829
20098216,부기우기: 상위 1%의 섹스,20130620
20139843,밀프,20130620
