movie_id,title,original_title,release_date,budget,revenue,vote_average,runtime,release_year,release_month,director_id,director_original_name,cast_ids,cast_original_names
288401,불륜의 맛,불륜의 맛,2014-03-27,0,0,4.0,60,2014.0,3.0,1627816,Lee Se-il,2287947|1295464|2553234,Kim Ji-won-II|김보미|Jeon Ryeo-won
288403,스케치,스케치,2014-03-27,0,0,6.0,94,2014.0,3.0,5046964,이혁종,1244814|1252344|1292030|1490325|1535194,고은아|Park Jae-jung|Ju Min-ha|Song Seo-yool|Ahn Yeo-jin
288406,나가요 미스콜,나가요미스콜,2014-03-13,0,0,4.0,103,2014.0,3.0,1755041,Han Dong-Ho,2619565|2430278|2131601|1977933|2619568,Choi Jong-hoon-II|Han Gyu-ri|Yoon Song-ah|Yang Young-ryoon|Yoo Sun-young
288408,여배우 공작단,여배우 공작단,2014-06-19,0,0,0.0,73,2014.0,6.0,,,2481172|1332468,Lee Ja-eun|허동원
288411,내비게이션,내비게이션,2014-07-03,0,0,7.5,82,2014.0,7.0,1355872,Jang Gun-ho,1239675|2260556|1872632|1731539|3724274,황보라|Tak Te-in|고준|Kim Han-joon|김그림
288412,그 참을 수 없는 맛,그 참을 수 없는 맛,2014-07-09,0,0,0.0,74,2014.0,7.0,1739295,Lee Ji-hyeong,,
288416,중독애,중독애,2014-07-16,0,0,0.0,83,2014.0,7.0,,,3467280|2617543|2488717,Park Sang-woon|Kwak Jin-young|Kim So-ra
288417,열애,열애,2014-07-23,0,0,2.0,84,2014.0,7.0,589426,Lee Soong-hwan,1086448|4090252|5232079|4012120|1332468,Min Jung|오유나|Lee Yang Hee|Lee Yo-sung|허동원
288418,밀애,밀애,2014-07-24,0,0,4.7,86,2014.0,7.0,2001918,Kim In-gyoo,1529792|2001929|2001936|2001937|2001938,Hwang Bo-wook|Yoo Ra-seong|Kim Bo-ri|김늘메|Jo Eun-seo
288419,아웃사이더,아웃사이더,2014-07-24,0,0,3.0,96,2014.0,7.0,,,,
289193,나는 쓰레기다,나는 쓰레기다,2016-05-12,0,0,5.05,94,2016.0,5.0,570549,Lee Sang-woo,1432843|570549|1579828|1710040|1379265,Kwon Beom-taek|Lee Sang-woo|Yang Myeong-heon|Yoo So-hyeon|Jo Yong-seok
289294,그 강아지 그 고양이,그 강아지 그 고양이,2013-12-12,0,0,7.3,104,2013.0,12.0,1358064,Min Byung-woo,1358059|1358060|3670006|127721|3670007,Shin Myung-Geun|Son Min-ji|Im Seong-jin|박성택|Baek Jaeho
290075,모던 보이,모던 보이,2008-10-02,0,0,6.8,121,2008.0,10.0,97142,정지우,21687|146245|110388|139507|135850,박해일|김혜수|김남길|김준배|김영재
290098,아가씨,아가씨,2016-06-01,8575000,38600000,8.2,144,2016.0,6.0,10099,박찬욱,123664|1537768|75913|138336|93252,김민희|김태리|하정우|조진웅|김해숙
290140,Hold Me,Hold Me,2013-09-01,0,0,0.0,9,2013.0,9.0,2441832,김숙현,3996183,Lim Set-byoel
290751,시크릿 인 데어 아이즈,Secret in Their Eyes,2015-10-14,19500000,34854990,6.353,111,2015.0,10.0,21807,Billy Ray,5294|2227|1204|14329|658,Chiwetel Ejiofor|Nicole Kidman|Julia Roberts|Dean Norris|Alfred Molina
290865,타짜: 신의 손,타짜: 신의 손,2014-09-03,0,31278476,7.0,147,2014.0,9.0,84976,강형철,80981|126348|1155298|1364528|84996,최승현|신세경|곽도원|이하늬|유해진
291327,마파도 2,마파도 2,2007-01-01,0,0,5.2,129,2007.0,1.0,566369,Lee Sang-hoon,138509|1234180|1246516|77059|1622771,이문식|김지영|여운계|김을동|김형자
291416,요술,요술,2010-06-24,0,0,4.6,95,2010.0,6.0,1233840,구혜선,123339|1333419|3267740,임지규|서현진|Kim Jeong-wook
291549,암살,암살,2015-07-22,0,96119773,7.302,139,2015.0,7.0,119337,최동훈,63436|75913|73249|77188|138336,전지현|하정우|이정재|오달수|조진웅
