제목,네티즌점수,네티즌평가수,전문가평점평균,전문가수
타짜-신의 손,7.041,11177,5.625,10
나의 독재자,7.441,2422,6.025,10
나의 사랑 나의 신부,7.711,3473,4.95,5
마담 뺑덕,6.651,2300,4.875,6
맨홀,3.601,1327,4.0,2
슬로우 비디오,7.781,5506,6.0,5
우리는 형제입니다,7.111,2330,5.0,4
정글히어로,4.001,1,,0
제보자,8.321,3973,6.075,10
"님아, 그 강을 건너지 마오",9.341,7136,6.0,1
빅매치,6.411,3741,3.888888888888889,9
아빠를 빌려드립니다,7.791,766,4.5,2
카트,8.621,4561,5.55,10
패션왕,5.171,5080,3.1,5
개를 훔치는 완벽한 방법,9.091,3035,5.875,6
국제시장,8.901,21650,5.8125,8
기술자들,6.611,5515,3.75,5
덕수리 5형제,3.581,279,,0
상의원,7.891,3606,5.214285714285714,7
강남 1970,6.861,5913,4.125,10
내 심장을 쏴라,7.691,1875,3.75,5
오늘의 연애,6.351,7255,4.0,4
워킹걸,6.491,2164,3.75,4
허삼관,7.541,4701,5.607142857142857,7
쎄시봉,5.871,7462,5.25,7
조선명탐정 : 사라진 놉의 딸,7.371,4601,4.65,5
최강전사 미니특공대 : 새로운 악당의 습격,7.381,121,,0
살인의뢰,6.621,3491,4.333333333333333,3
소셜포비아,7.921,1687,4.178571428571429,7
순수의 시대,6.361,3064,3.2857142857142856,7
스물,7.201,6950,4.875,6
헬머니,6.651,1348,4.125,4
다이노 타임,7.761,83,,0
약장수,8.651,1376,2.375,2
위험한 상견례 2,6.251,1586,4.0,1
장수상회,9.011,3137,4.642857142857143,7
차이나타운,6.791,5690,5.425,10
화장,6.601,709,5.90625,8
간신,6.881,5373,4.416666666666667,9
무뢰한,8.001,3743,6.675,10
악의 연대기,7.321,5214,4.4375,8
연애의 맛,7.281,1273,5.0,2
경성학교: 사라진 소녀들,6.041,3714,5.75,7
극비수사,7.941,4731,6.675,10
나의 절친 악당들,4.751,2625,5.5,7
소수의견,7.911,3466,6.321428571428571,7
연평해전,9.001,23610,3.6875,4
은밀한 유혹,5.141,1018,3.7142857142857144,7
고녀석 맛나겠다2 : 함께라서 행복해,8.581,476,4.666666666666667,3
손님,6.431,5398,4.725,10
쓰리 썸머 나잇,6.591,1313,,0
암살,8.851,19454,3.8,10
미쓰 와이프,9.041,5758,4.0,6
베테랑,6.191,21565,7.0,10
뷰티 인사이드,7.681,11003,3.4722222222222223,9
치외법권,5.801,3628,4.833333333333333,3
퇴마: 무녀굴,6.471,1830,3.3333333333333335,6
"협녀, 칼의 기억",5.311,4426,3.55,10
사도,8.171,12340,6.65,10
오피스,6.241,2585,4.6875,8
탐정 : 더 비기닝,8.331,4904,5.9,5
함정,5.671,2052,3.0,1
그놈이다,6.601,3721,6.666666666666667,3
더 폰,6.341,4513,5.2,5
돌연변이,6.901,1294,5.638888888888889,9
미안해 사랑해 고마워,7.121,390,4.0,1
성난 변호사,7.471,2679,5.45,5
특종: 량첸살인기,6.711,3508,6.571428571428571,7
검은 사제들,8.221,14016,6.25,10
내부자들,8.971,13921,5.5,10
도리화가,5.511,4548,4.222222222222222,9
열정같은소리하고있네,7.241,2659,3.5833333333333335,9
극적인 하룻밤,6.441,1627,5.083333333333333,6
내부자들: 디 오리지널,9.001,2782,,0
대호,7.971,7705,5.025,10
뽀로로 극장판 컴퓨터 왕국 대모험,8.711,334,,0
조선마술사,6.531,3976,3.7916666666666665,6
히말라야,6.971,8218,5.125,10
그날의 분위기,6.021,2383,2.6875,8
극장판 꼬마버스 타요의 에이스 구출작전,8.481,75,,0
"로봇, 소리",8.531,3137,5.805555555555555,9
오빠생각,8.541,4228,4.90625,8
검사외전,7.061,11188,5.944444444444445,9
귀향,9.061,13048,5.8,5
남과 여,8.231,2305,6.0,7
동주,9.451,8377,6.2,10
번개맨,5.381,13,5.5,2
순정,8.861,2743,5.5,4
좋아해줘,8.191,2918,4.2,5
최강전사 미니특공대: 영웅의 탄생,7.801,49,,0
글로리데이,7.701,1899,4.55,5
널 기다리며,7.521,3280,3.8125,4
대배우,5.571,1035,4.25,10
일사각오,9.241,238,,0
극장판 프랭키와 친구들: 생명의 나무,8.781,40,,0
"날, 보러와요",6.521,2196,4.5,10
위대한 소원,7.951,2374,5.0,4
해어화,8.111,6131,4.7,10
계춘할망,8.921,2322,5.40625,8
곡성,7.281,29398,6.6,10
극장판 안녕 자두야,8.751,170,5.0,2
다이노X 탐험대,5.031,129,,0
엽기적인 그녀 2,2.671,1883,3.5,2
탐정 홍길동: 사라진 마을,7.611,7554,6.075,10
굿바이 싱글,7.841,3685,5.375,10
무서운 이야기 3 : 화성에서 온 소녀,5.871,2399,6.0,2
비밀은 없다,6.791,3935,5.65,10
사냥,6.141,6830,3.85,5
아가씨,6.821,14301,5.525,10
특별수사: 사형수의 편지,8.181,2938,5.2,5
봉이 김선달,7.471,5690,4.472222222222222,9
부산행,7.341,27572,5.175,10
인천상륙작전,7.731,24605,2.90625,8
트릭,4.501,14,,0
국가대표 2,8.551,3506,3.9285714285714284,7
덕혜옹주,7.931,10479,5.95,10
서울역,3.501,3966,6.138888888888889,9
슈퍼 프렌즈,8.801,201,6.0,1
올레,7.351,1542,2.75,3
터널,7.991,10293,5.9,10
"고산자, 대동여지도",6.831,3367,5.275,10
달빛궁궐,6.051,1241,5.0,2
밀정,8.261,9270,6.1,10
아수라,7.201,23125,5.925,10
걷기왕,7.681,1172,6.071428571428571,7
럭키,8.131,11517,3.107142857142857,7
"무현, 두 도시 이야기",8.331,2817,6.0,6
