movie_id,title,original_title,original_language,release_date,runtime,budget,revenue,vote_average,vote_count,popularity,genres,production_companies,production_countries,release_year,release_month
131124,애니멀 타운,애니멀 타운,ko,2011-03-10,97,0,0,6.5,2,0.7451,['드라마'],['TreeFilm'],['KR'],2011.0,3.0
131811,심장이 뛰네,심장이 뛰네,ko,2011-07-28,106,0,0,4.5,4,0.3472,['드라마'],[],[],2011.0,7.0
131818,다섯 개의 시선,다섯 개의 시선,ko,2006-01-12,112,0,0,5.6,5,0.5714,[],"['CJ Entertainment', 'National Human Rights Commission of Korea']",['KR'],2006.0,1.0
131921,열한번째 엄마,열한번째 엄마,ko,2007-11-29,104,0,0,7.0,11,0.9315,['드라마'],"['Showbox', 'Sea Star Pictures']",['KR'],2007.0,11.0
131922,복면달호,복면달호,ko,2007-02-14,114,0,0,6.6,10,0.4686,"['음악', '코미디']","['In & In Pictures', 'Fuji Television Network', 'OCN', 'Tube Entertainment', 'Korea Development', 'Junglim ENC']","['JP', 'KR']",2007.0,2.0
131926,몽정기 2,몽정기 2,ko,2005-01-14,101,0,0,5.5,11,1.6393,['코미디'],"['Myung Films', 'MK Pictures', 'Lotte Entertainment']",['KR'],2005.0,1.0
131983,내 생애 최악의 남자,내 생애 최악의 남자,ko,2007-08-30,109,0,0,6.5,2,1.6334,['코미디'],[],['KR'],2007.0,8.0
132711,바람과 함께 사라지다,바람과 함께 사라지다,ko,2012-08-08,121,0,0,6.5,28,0.8551,"['코미디', '액션']","['Next Entertainment World', 'Dhutayeon', 'AD406', 'Finecut']",['KR'],2012.0,8.0
132957,미확인 동영상: 절대클릭금지,미확인 동영상: 절대클릭금지,ko,2012-05-30,93,0,0,5.5,42,1.2555,"['공포', '범죄', '미스터리']","['Dasepo Club', 'AD406', 'Michigan Venture Capital']",['KR'],2012.0,5.0
133050,가능한 변화들,가능한 변화들,ko,2005-03-18,114,0,0,5.6,7,0.4194,['드라마'],"['Mirovision', 'Movienet Film Productions']",['KR'],2005.0,3.0
